Elo	Username	W	L	T	Last Update
1110	rat smoothie	3	1	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1110	Joshe444	5	4	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1110	luckysugar	5	7	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1109	civanna	3	2	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1109	hambrgr	2	1	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1108	Hebejrhf	2	0	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1108	Lefty420	19	45	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1107	zach_1717	2	0	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1107	IC Oshawott	3	3	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1106	deskeedee(alt)	6	7	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1105	Endrism27	8	8	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1105	garbiMisticoss	3	3	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1104	Abyssal Human	3	2	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1104	B!d00f	2	0	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1103	y.ssho	5	6	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1102	anoiefnawnfowan	2	0	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1102	Sheen so	2	1	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1102	Ddrggggf	2	0	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1101	cold demise	2	1	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1101	Spawnerlord	4	3	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
